id_tempo,data,ano_adicao,mes_adicao,nome_mes
770,2018-11-05,2018,11,November
771,2018-11-07,2018,11,November
772,2018-11-08,2018,11,November
773,2018-11-09,2018,11,November
774,2018-11-10,2018,11,November
775,2018-11-12,2018,11,November
776,2018-11-13,2018,11,November
777,2018-11-15,2018,11,November
778,2018-11-16,2018,11,November
779,2018-11-17,2018,11,November
780,2018-11-18,2018,11,November
781,2018-11-20,2018,11,November
782,2018-11-21,2018,11,November
783,2018-11-22,2018,11,November
784,2018-11-23,2018,11,November
785,2018-11-25,2018,11,November
786,2018-11-27,2018,11,November
787,2018-11-28,2018,11,November
788,2018-11-30,2018,11,November
789,2018-12-01,2018,12,December
790,2018-12-02,2018,12,December
791,2018-12-03,2018,12,December
792,2018-12-04,2018,12,December
793,2018-12-05,2018,12,December
794,2018-12-06,2018,12,December
795,2018-12-07,2018,12,December
796,2018-12-08,2018,12,December
797,2018-12-09,2018,12,December
798,2018-12-10,2018,12,December
799,2018-12-11,2018,12,December
800,2018-12-12,2018,12,December
801,2018-12-14,2018,12,December
802,2018-12-15,2018,12,December
803,2018-12-16,2018,12,December
804,2018-12-17,2018,12,December
805,2018-12-18,2018,12,December
806,2018-12-19,2018,12,December
807,2018-12-20,2018,12,December
808,2018-12-21,2018,12,December
809,2018-12-22,2018,12,December
810,2018-12-23,2018,12,December
811,2018-12-24,2018,12,December
812,2018-12-25,2018,12,December
813,2018-12-26,2018,12,December
814,2018-12-27,2018,12,December
815,2018-12-28,2018,12,December
816,2018-12-29,2018,12,December
817,2018-12-30,2018,12,December
818,2018-12-31,2018,12,December
819,2019-01-01,2019,1,January
820,2019-01-02,2019,1,January
821,2019-01-03,2019,1,January
822,2019-01-04,2019,1,January
823,2019-01-05,2019,1,January
824,2019-01-07,2019,1,January
825,2019-01-08,2019,1,January
826,2019-01-09,2019,1,January
827,2019-01-10,2019,1,January
828,2019-01-11,2019,1,January
829,2019-01-12,2019,1,January
830,2019-01-13,2019,1,January
831,2019-01-14,2019,1,January
832,2019-01-15,2019,1,January
833,2019-01-16,2019,1,January
834,2019-01-18,2019,1,January
835,2019-01-19,2019,1,January
836,2019-01-23,2019,1,January
837,2019-01-24,2019,1,January
838,2019-01-25,2019,1,January
839,2019-01-26,2019,1,January
840,2019-01-27,2019,1,January
841,2019-01-28,2019,1,January
